Month,Day,Hour,Grid_Price,Aggregator_Price,Household_Demand,SoC,Car_Available
1,2,23,0.24,0.22,22.86,,1
1,3,0,0.16,0.15,10.94,,1
1,3,1,0.21,0.2,0.0,,1
1,3,2,0.24,0.22,0.0,,1
1,3,3,0.22,0.2,0.0,,0
1,3,4,0.2,0.17,0.0,,0
1,3,5,0.23,0.21,0.0,,0
1,3,6,0.16,0.15,8.93,0.4954,1
1,3,7,0.49,0.46,19.96,,0
1,3,8,0.49,0.38,0.0,,0
1,3,9,0.46,0.34,0.0,,0
1,3,10,0.28,0.21,0.0,,0
1,3,11,0.27,0.2,0.0,,0
1,3,12,0.31,0.24,0.0,,0
1,3,13,0.35,0.26,0.0,,0
1,3,14,0.33,0.28,0.0,0.8121,1
1,3,15,0.3,0.21,0.0,,0
1,3,16,0.28,0.2,10.66,,0
1,3,17,0.28,0.2,7.71,,0
1,3,18,0.36,0.33,11.24,0.7121,1
1,3,19,0.45,0.4,0.0,,1
1,3,20,0.47,0.43,16.6,,0
1,3,21,0.46,0.43,5.08,0.1695,1
1,3,22,0.24,0.21,5.57,,0
1,3,23,0.19,0.18,16.93,0.6203,1
1,4,0,0.18,0.17,0.0,,0
1,4,1,0.18,0.15,0.0,0.3676,1
1,4,2,0.19,0.18,0.0,,1
1,4,3,0.24,0.21,0.0,,1
1,4,4,0.21,0.19,0.0,,1
1,4,5,0.25,0.23,0.0,,0
1,4,6,0.18,0.17,14.91,0.5982,1
1,4,7,0.47,0.41,19.51,,1
1,4,8,0.37,0.29,9.87,,0
1,4,9,0.46,0.39,0.0,0.791,1
1,4,10,0.34,0.29,9.88,,0
1,4,11,0.32,0.25,0.0,,0
1,4,12,0.32,0.25,0.0,,0
1,4,13,0.29,0.25,0.0,,0
1,4,14,0.3,0.22,0.0,,0
1,4,15,0.32,0.27,0.0,,0
1,4,16,0.29,0.24,5.98,,0
1,4,17,0.34,0.29,22.22,,0
1,4,18,0.4,0.34,24.04,0.7793,1
1,4,19,0.48,0.42,8.0,,0
1,4,20,0.4,0.37,5.68,0.6472,1
1,4,21,0.39,0.35,22.97,,1
1,4,22,0.23,0.21,22.29,,1
1,4,23,0.15,0.13,0.0,,1
1,5,0,0.23,0.22,0.0,,0
1,5,1,0.25,0.23,0.0,0.55,1
1,5,2,0.19,0.17,0.0,,1
1,5,3,0.18,0.16,0.0,,1
1,5,4,0.2,0.19,0.0,,1
1,5,5,0.18,0.17,0.0,,1
1,5,6,0.21,0.19,17.58,,1
1,5,7,0.38,0.35,0.0,,1
1,5,8,0.46,0.39,5.7,,1
1,5,9,0.47,0.36,0.0,,0
1,5,10,0.29,0.24,0.0,0.4691,1
1,5,11,0.27,0.19,0.0,,0
1,5,12,0.34,0.24,0.0,,0
1,5,13,0.3,0.24,0.0,0.3632,1
1,5,14,0.26,0.19,0.0,,0
1,5,15,0.3,0.25,0.0,,0
1,5,16,0.34,0.25,0.0,,0
1,5,17,0.25,0.21,5.82,,0
1,5,18,0.38,0.36,10.04,,0
1,5,19,0.44,0.38,9.32,0.6563,1
1,5,20,0.36,0.33,18.83,,1
1,5,21,0.44,0.38,18.65,,1
1,5,22,0.17,0.15,0.0,,1
1,5,23,0.15,0.13,9.92,,0
1,6,0,0.17,0.15,0.0,,0
1,6,1,0.19,0.16,0.0,,0
1,6,2,0.16,0.14,5.57,0.784,1
1,6,3,0.23,0.2,0.0,,1
1,6,4,0.23,0.21,0.0,,0
1,6,5,0.17,0.15,0.0,,0
1,6,6,0.2,0.18,15.39,,0
1,6,7,0.48,0.44,17.85,0.4275,1
1,6,8,0.48,0.4,11.89,,0
1,6,9,0.41,0.29,0.0,,0
1,6,10,0.28,0.2,0.0,,0
1,6,11,0.35,0.28,9.52,,0
1,6,12,0.28,0.24,5.93,,0
1,6,13,0.28,0.21,0.0,,0
1,6,14,0.35,0.29,0.0,0.8552,1
1,6,15,0.26,0.2,0.0,,0
1,6,16,0.32,0.27,0.0,,0
1,6,17,0.32,0.26,23.98,,0
1,6,18,0.44,0.39,22.72,0.3112,1
1,6,19,0.47,0.43,13.75,,1
1,6,20,0.45,0.41,18.46,,1
1,6,21,0.49,0.44,5.68,,1
1,6,22,0.22,0.19,11.03,,1
1,6,23,0.24,0.22,15.64,,0
1,7,0,0.16,0.15,0.0,0.2203,1
1,7,1,0.22,0.21,0.0,,0
1,7,2,0.22,0.21,0.0,0.9223,1
1,7,3,0.22,0.2,0.0,,1
1,7,4,0.17,0.15,0.0,,1
1,7,5,0.17,0.15,0.0,,1
1,7,6,0.21,0.19,0.0,,1
1,7,7,0.45,0.42,6.25,,0
1,7,8,0.42,0.36,0.0,0.6394,1
1,7,9,0.49,0.42,0.0,,1
1,7,10,0.27,0.21,0.0,,0
1,7,11,0.29,0.22,3.73,,0
1,7,12,0.34,0.28,0.0,,0
1,7,13,0.3,0.22,2.76,,0
1,7,14,0.31,0.22,0.0,,0
1,7,15,0.3,0.22,0.0,,0
1,7,16,0.34,0.24,0.0,,0
1,7,17,0.33,0.23,0.0,0.1885,1
1,7,18,0.49,0.44,24.65,,0
1,7,19,0.48,0.43,15.77,0.3486,1
1,7,20,0.36,0.33,5.83,,0
1,7,21,0.42,0.36,5.54,0.6517,1
1,7,22,0.16,0.14,8.87,,0
1,7,23,0.24,0.22,21.44,0.2737,1
1,8,0,0.24,0.21,0.0,,1
1,8,1,0.24,0.22,0.0,,1
1,8,2,0.16,0.14,0.0,,1
1,8,3,0.18,0.16,0.0,,1
1,8,4,0.16,0.15,0.0,,1
1,8,5,0.18,0.16,0.0,,0
1,8,6,0.17,0.15,16.6,0.7077,1
1,8,7,0.47,0.43,19.5,,1
1,8,8,0.35,0.26,15.91,,0
1,8,9,0.4,0.34,0.0,,0
1,8,10,0.3,0.24,0.0,,0
1,8,11,0.32,0.23,0.0,,0
1,8,12,0.32,0.22,0.0,,0
1,8,13,0.33,0.27,0.0,,0
1,8,14,0.31,0.25,0.0,,0
1,8,15,0.26,0.19,0.0,,0
1,8,16,0.29,0.22,0.0,0.6368,1
1,8,17,0.31,0.24,8.38,,0
1,8,18,0.47,0.41,17.25,0.8446,1
1,8,19,0.47,0.42,18.84,,1
1,8,20,0.5,0.43,5.61,,1
1,8,21,0.36,0.33,19.1,,1
1,8,22,0.15,0.13,8.78,,0
1,8,23,0.23,0.2,8.36,0.2179,1
1,9,0,0.15,0.14,21.42,,1
1,9,1,0.16,0.15,28.62,,0
1,9,2,0.21,0.2,24.32,,0
1,9,3,0.23,0.21,15.63,0.7444,1
1,9,4,0.21,0.18,29.82,,0
1,9,5,0.25,0.23,22.84,,0
1,9,6,0.24,0.22,17.71,0.7998,1
1,9,7,0.38,0.35,22.69,,1
1,9,8,0.41,0.34,17.59,,0
1,9,9,0.47,0.34,28.62,,0
1,9,10,0.3,0.21,0.0,,0
1,9,11,0.34,0.29,15.78,,0
1,9,12,0.27,0.22,24.65,,0
1,9,13,0.32,0.24,15.65,,0
1,9,14,0.29,0.22,16.23,,0
1,9,15,0.34,0.25,24.97,,0
1,9,16,0.27,0.21,21.64,,0
1,9,17,0.28,0.23,10.93,,0
1,9,18,0.45,0.43,23.89,,0
1,9,19,0.41,0.38,27.77,0.3084,1
1,9,20,0.41,0.35,16.48,,1
1,9,21,0.48,0.43,18.11,,1
1,9,22,0.2,0.19,18.77,,1
1,9,23,0.24,0.22,16.84,,0
1,10,0,0.16,0.15,0.0,,0
1,10,1,0.17,0.15,3.43,0.5027,1
1,10,2,0.24,0.22,0.0,,1
1,10,3,0.23,0.21,0.0,,1
1,10,4,0.18,0.16,0.0,,0
1,10,5,0.2,0.18,0.0,0.7667,1
1,10,6,0.23,0.22,22.53,,0
1,10,7,0.4,0.35,6.3,0.8874,1
1,10,8,0.44,0.32,14.43,,0
1,10,9,0.37,0.31,0.0,0.3997,1
1,10,10,0.28,0.24,0.0,,0
1,10,11,0.33,0.27,0.0,,0
1,10,12,0.33,0.27,0.0,,0
1,10,13,0.35,0.3,0.0,,0
1,10,14,0.32,0.25,0.0,,0
1,10,15,0.34,0.27,0.0,,0
1,10,16,0.32,0.24,0.0,,0
1,10,17,0.3,0.25,12.07,,0
1,10,18,0.39,0.34,7.85,,0
1,10,19,0.46,0.41,11.6,,0
1,10,20,0.39,0.34,21.74,0.754,1
1,10,21,0.47,0.42,16.06,,0
1,10,22,0.25,0.23,19.96,0.3333,1
1,10,23,0.22,0.19,12.39,,1
1,11,0,0.18,0.16,0.0,,1
1,11,1,0.19,0.18,0.0,,0
1,11,2,0.17,0.15,0.0,0.19,1
1,11,3,0.23,0.22,7.43,,0
1,11,4,0.21,0.18,0.0,,0
1,11,5,0.25,0.22,0.0,0.8846,1
1,11,6,0.22,0.2,22.94,,1
1,11,7,0.41,0.36,20.51,,0
1,11,8,0.49,0.41,21.39,,0
1,11,9,0.44,0.37,0.0,0.4863,1
1,11,10,0.31,0.24,0.0,,0
1,11,11,0.34,0.28,0.0,,0
1,11,12,0.33,0.26,0.0,,0
1,11,13,0.26,0.21,0.0,0.7383,1
1,11,14,0.32,0.26,5.96,,0
1,11,15,0.26,0.21,0.0,,0
1,11,16,0.29,0.24,0.0,,0
1,11,17,0.32,0.24,22.32,0.3634,1
1,11,18,0.48,0.43,24.34,,0
1,11,19,0.45,0.4,6.62,0.2072,1
1,11,20,0.45,0.41,18.59,,1
1,11,21,0.45,0.39,0.0,,1
1,11,22,0.21,0.2,8.98,,0
1,11,23,0.18,0.15,6.99,0.5713,1
1,12,0,0.21,0.18,0.0,,0
1,12,1,0.2,0.18,0.0,0.6768,1
1,12,2,0.23,0.2,11.16,,1
1,12,3,0.19,0.16,0.0,,0
1,12,4,0.2,0.18,0.0,,0
1,12,5,0.25,0.22,6.27,0.6907,1
1,12,6,0.22,0.2,6.09,,0
1,12,7,0.4,0.36,14.14,,0
1,12,8,0.35,0.27,16.71,,0
1,12,9,0.4,0.31,0.0,,0
1,12,10,0.34,0.28,0.0,,0
1,12,11,0.26,0.2,0.0,0.596,1
1,12,12,0.33,0.24,0.0,,1
1,12,13,0.31,0.24,0.0,,0
1,12,14,0.34,0.26,0.0,,0
1,12,15,0.35,0.25,9.7,,0
1,12,16,0.25,0.18,0.0,,0
1,12,17,0.29,0.22,14.23,,0
1,12,18,0.49,0.42,21.66,0.532,1
1,12,19,0.37,0.35,8.26,,1
1,12,20,0.36,0.34,14.49,,1
1,12,21,0.49,0.44,20.86,,1
1,12,22,0.24,0.21,21.05,,1
1,12,23,0.17,0.16,22.29,,0
1,13,0,0.22,0.2,29.82,,0
1,13,1,0.18,0.16,29.25,0.7491,1
1,13,2,0.19,0.18,0.0,,1
1,13,3,0.19,0.17,17.42,,1
1,13,4,0.17,0.14,18.14,,1
1,13,5,0.16,0.15,16.11,,0
1,13,6,0.17,0.16,25.0,,0
1,13,7,0.4,0.34,21.88,,0
1,13,8,0.39,0.31,16.27,,0
1,13,9,0.36,0.28,23.36,,0
1,13,10,0.34,0.26,2.32,,0
1,13,11,0.31,0.24,22.75,,0
1,13,12,0.28,0.23,29.28,0.3751,1
1,13,13,0.35,0.27,23.52,,0
1,13,14,0.26,0.2,28.43,,0
1,13,15,0.32,0.24,0.0,,0
1,13,16,0.28,0.23,15.84,,0
1,13,17,0.34,0.26,15.56,,0
1,13,18,0.45,0.4,26.86,0.2737,1
1,13,19,0.39,0.36,27.44,,0
1,13,20,0.45,0.4,25.71,0.4161,1
1,13,21,0.45,0.41,16.17,,0
1,13,22,0.18,0.16,28.57,0.4122,1
1,13,23,0.17,0.15,28.82,,0
1,14,0,0.23,0.22,0.0,0.4505,1
1,14,1,0.15,0.13,0.0,,0
1,14,2,0.24,0.21,0.0,,0
1,14,3,0.25,0.21,0.0,,0
1,14,4,0.21,0.19,0.0,0.6846,1
1,14,5,0.2,0.18,11.66,,1
1,14,6,0.18,0.16,0.0,,1
1,14,7,0.36,0.32,18.44,,0
1,14,8,0.42,0.34,9.73,0.7267,1
1,14,9,0.37,0.31,0.0,,1
1,14,10,0.28,0.2,0.0,,0
1,14,11,0.33,0.24,7.86,0.2789,1
1,14,12,0.3,0.25,7.94,,1
1,14,13,0.35,0.25,0.0,,0
1,14,14,0.25,0.21,0.0,,0
1,14,15,0.31,0.26,0.0,,0
1,14,16,0.3,0.24,5.38,,0
1,14,17,0.34,0.24,19.09,,0
1,14,18,0.47,0.42,9.2,0.8256,1
1,14,19,0.39,0.37,17.37,,0
1,14,20,0.37,0.34,10.15,,0
1,14,21,0.37,0.33,24.56,,0
1,14,22,0.2,0.18,6.16,0.6103,1
1,14,23,0.19,0.18,7.92,,1
1,15,0,0.23,0.2,0.0,,0
1,15,1,0.18,0.16,0.0,0.6315,1
1,15,2,0.23,0.22,0.0,,1
1,15,3,0.16,0.15,0.0,,1
1,15,4,0.21,0.19,0.0,,1
1,15,5,0.19,0.17,0.0,,1
1,15,6,0.24,0.21,22.91,,0
1,15,7,0.39,0.36,21.36,,0
1,15,8,0.42,0.32,20.21,,0
1,15,9,0.47,0.39,0.0,,0
1,15,10,0.29,0.24,0.0,,0
1,15,11,0.33,0.26,0.0,0.4671,1
1,15,12,0.27,0.21,0.0,,0
1,15,13,0.25,0.19,0.0,,0
1,15,14,0.33,0.25,0.0,,0
1,15,15,0.32,0.22,0.0,,0
1,15,16,0.28,0.21,0.0,0.8993,1
1,15,17,0.3,0.23,10.43,,0
1,15,18,0.35,0.32,15.93,,0
1,15,19,0.47,0.43,24.77,0.7179,1
1,15,20,0.45,0.4,13.52,,1
1,15,21,0.46,0.43,7.99,,0
1,15,22,0.18,0.17,24.04,0.6354,1
1,15,23,0.19,0.17,5.0,,0
1,16,0,0.18,0.16,5.19,0.5307,1
1,16,1,0.16,0.14,0.0,,1
1,16,2,0.16,0.14,10.53,,0
1,16,3,0.23,0.22,0.0,0.8929,1
1,16,4,0.17,0.16,0.0,,0
1,16,5,0.22,0.19,0.0,0.4905,1
1,16,6,0.23,0.21,16.58,,1
1,16,7,0.4,0.37,20.36,,0
1,16,8,0.5,0.41,11.5,,0
1,16,9,0.49,0.38,0.0,,0
1,16,10,0.25,0.18,0.0,0.4006,1
1,16,11,0.3,0.23,0.0,,0
1,16,12,0.28,0.22,0.0,,0
1,16,13,0.33,0.26,0.0,,0
1,16,14,0.27,0.19,8.73,,0
1,16,15,0.35,0.26,0.0,0.3169,1
1,16,16,0.34,0.27,0.0,,1
1,16,17,0.3,0.25,22.56,,0
1,16,18,0.5,0.44,10.62,,0
1,16,19,0.38,0.34,9.49,,0
1,16,20,0.5,0.44,5.53,0.6269,1
1,16,21,0.48,0.44,14.51,,1
1,16,22,0.17,0.16,0.0,,0
1,16,23,0.22,0.2,6.73,0.755,1
1,17,0,0.2,0.18,0.0,,1
1,17,1,0.18,0.15,0.0,,1
1,17,2,0.17,0.15,0.0,,1
1,17,3,0.17,0.15,11.06,,1
1,17,4,0.21,0.2,6.22,,0
1,17,5,0.24,0.21,0.0,0.3968,1
1,17,6,0.21,0.19,24.59,,0
1,17,7,0.38,0.35,6.64,0.7085,1
1,17,8,0.37,0.29,9.04,,0
1,17,9,0.44,0.32,0.0,0.9373,1
1,17,10,0.29,0.22,0.0,,0
1,17,11,0.3,0.23,0.0,,0
1,17,12,0.26,0.18,0.0,,0
1,17,13,0.32,0.23,0.0,0.6403,1
1,17,14,0.3,0.21,7.96,,1
1,17,15,0.3,0.23,10.31,,0
1,17,16,0.28,0.23,0.0,,0
1,17,17,0.33,0.24,8.59,0.7402,1
1,17,18,0.38,0.36,8.25,,0
1,17,19,0.36,0.34,6.3,0.6259,1
1,17,20,0.38,0.36,21.39,,0
1,17,21,0.39,0.35,18.03,0.6003,1
1,17,22,0.2,0.19,17.67,,1
1,17,23,0.2,0.18,0.0,,1
1,18,0,0.24,0.22,0.0,,0
1,18,1,0.18,0.16,3.41,0.4937,1
1,18,2,0.2,0.17,0.0,,1
1,18,3,0.16,0.15,0.0,,1
1,18,4,0.2,0.18,0.0,,0
1,18,5,0.23,0.2,0.0,0.8399,1
1,18,6,0.19,0.18,13.03,,0
1,18,7,0.37,0.33,9.45,0.3192,1
1,18,8,0.44,0.37,24.62,,1
1,18,9,0.4,0.3,0.0,,0
1,18,10,0.31,0.22,0.0,,0
1,18,11,0.31,0.22,0.0,,0
1,18,12,0.29,0.23,0.0,,0
1,18,13,0.33,0.25,0.0,,0
1,18,14,0.32,0.27,0.0,,0
1,18,15,0.3,0.25,11.66,,0
1,18,16,0.25,0.19,0.0,,0
1,18,17,0.35,0.29,11.87,,0
1,18,18,0.47,0.4,22.3,0.4244,1
1,18,19,0.42,0.37,12.32,,1
1,18,20,0.48,0.45,8.29,,1
1,18,21,0.43,0.39,13.51,,0
1,18,22,0.17,0.15,19.0,0.2503,1
1,18,23,0.19,0.17,12.12,,1
1,19,0,0.16,0.15,0.0,,1
1,19,1,0.24,0.22,0.0,,1
1,19,2,0.2,0.19,0.0,,0
1,19,3,0.16,0.15,8.79,,0
1,19,4,0.16,0.15,0.0,0.9318,1
1,19,5,0.17,0.15,0.0,,1
1,19,6,0.19,0.16,11.43,,1
1,19,7,0.43,0.41,23.68,,1
1,19,8,0.5,0.42,21.42,,0
1,19,9,0.41,0.3,0.0,,0
1,19,10,0.29,0.23,0.0,,0
1,19,11,0.33,0.27,0.0,,0
1,19,12,0.31,0.25,0.0,,0
1,19,13,0.26,0.19,0.0,0.4307,1
1,19,14,0.34,0.24,0.0,,0
1,19,15,0.29,0.24,0.0,,0
1,19,16,0.32,0.26,0.0,,0
1,19,17,0.27,0.22,20.28,0.2169,1
1,19,18,0.37,0.33,13.04,,1
1,19,19,0.46,0.4,8.53,,1
1,19,20,0.42,0.36,11.16,,1
1,19,21,0.42,0.36,14.34,,0
1,19,22,0.16,0.14,17.23,0.4298,1
1,19,23,0.19,0.17,17.99,,0
1,20,0,0.19,0.18,0.0,0.3107,1
1,20,1,0.21,0.18,0.0,,1
1,20,2,0.18,0.15,0.0,,0
1,20,3,0.17,0.16,0.0,,0
1,20,4,0.18,0.17,0.0,0.3192,1
1,20,5,0.24,0.23,0.0,,0
1,20,6,0.21,0.18,10.11,0.589,1
1,20,7,0.35,0.31,16.8,,1
1,20,8,0.38,0.31,18.02,,0
1,20,9,0.47,0.36,0.0,,0
1,20,10,0.26,0.21,0.0,,0
1,20,11,0.25,0.19,0.0,0.9213,1
1,20,12,0.29,0.21,0.0,,1
1,20,13,0.34,0.28,6.97,,0
1,20,14,0.32,0.27,0.0,0.7589,1
1,20,15,0.32,0.24,0.0,,0
1,20,16,0.34,0.28,0.0,,0
1,20,17,0.32,0.26,16.79,0.2814,1
1,20,18,0.42,0.37,0.0,,0
1,20,19,0.47,0.42,21.42,,0
1,20,20,0.35,0.33,17.44,0.8433,1
1,20,21,0.37,0.32,23.68,,0
1,20,22,0.22,0.19,15.11,0.686,1
1,20,23,0.22,0.2,10.81,,1
1,21,0,0.15,0.13,0.0,,0
1,21,1,0.22,0.19,0.0,,0
1,21,2,0.17,0.15,0.0,,0
1,21,3,0.2,0.17,0.0,0.9395,1
1,21,4,0.24,0.23,0.0,,1
1,21,5,0.18,0.16,0.0,,0
1,21,6,0.2,0.18,24.97,0.2616,1
1,21,7,0.49,0.46,10.5,,1
1,21,8,0.45,0.32,22.66,,0
1,21,9,0.45,0.37,0.0,,0
1,21,10,0.34,0.25,0.0,,0
1,21,11,0.34,0.25,0.0,,0
1,21,12,0.34,0.27,0.0,,0
1,21,13,0.27,0.21,0.0,,0
1,21,14,0.33,0.28,3.07,0.7583,1
1,21,15,0.27,0.21,0.0,,1
1,21,16,0.26,0.2,0.0,,0
1,21,17,0.33,0.24,13.19,,0
1,21,18,0.41,0.38,11.7,0.6526,1
1,21,19,0.4,0.36,14.98,,1
1,21,20,0.37,0.32,5.63,,1
1,21,21,0.41,0.36,18.7,,0
1,21,22,0.17,0.16,24.16,0.8015,1
1,21,23,0.17,0.16,5.78,,1
1,22,0,0.18,0.15,0.0,,0
1,22,1,0.25,0.22,0.0,0.4462,1
1,22,2,0.2,0.18,0.0,,0
1,22,3,0.24,0.23,0.0,,0
1,22,4,0.19,0.18,0.0,0.7674,1
1,22,5,0.18,0.17,0.0,,1
1,22,6,0.16,0.15,19.41,,0
1,22,7,0.4,0.34,11.86,0.3963,1
1,22,8,0.44,0.35,9.03,,0
1,22,9,0.37,0.27,0.0,0.6234,1
1,22,10,0.32,0.25,0.0,,0
1,22,11,0.33,0.26,0.0,,0
1,22,12,0.25,0.19,0.0,,0
1,22,13,0.25,0.18,0.0,,0
1,22,14,0.26,0.19,0.0,,0
1,22,15,0.27,0.19,0.0,,0
1,22,16,0.32,0.23,2.64,,0
1,22,17,0.3,0.25,7.92,,0
1,22,18,0.47,0.41,18.03,0.8254,1
1,22,19,0.35,0.32,23.6,,0
1,22,20,0.46,0.42,9.49,0.9495,1
1,22,21,0.5,0.46,0.0,,0
1,22,22,0.2,0.18,15.83,0.2769,1
1,22,23,0.23,0.21,0.0,,1
1,23,0,0.24,0.21,0.0,,1
1,23,1,0.24,0.22,0.0,,0
1,23,2,0.17,0.15,9.61,0.1752,1
1,23,3,0.16,0.14,0.0,,0
1,23,4,0.16,0.15,0.0,,0
1,23,5,0.17,0.14,0.0,0.3768,1
1,23,6,0.18,0.16,10.53,,1
1,23,7,0.42,0.38,23.58,,0
1,23,8,0.44,0.32,13.28,0.2082,1
1,23,9,0.47,0.37,0.0,,0
1,23,10,0.3,0.25,0.0,,0
1,23,11,0.34,0.25,0.0,0.7291,1
1,23,12,0.25,0.19,0.0,,0
1,23,13,0.26,0.18,5.85,,0
1,23,14,0.31,0.22,0.0,,0
1,23,15,0.35,0.27,0.0,,0
1,23,16,0.33,0.25,0.0,0.2501,1
1,23,17,0.33,0.28,8.9,,0
1,23,18,0.35,0.32,10.28,,0
1,23,19,0.43,0.39,19.39,0.8179,1
1,23,20,0.42,0.37,19.45,,1
1,23,21,0.39,0.34,15.78,,1
1,23,22,0.19,0.18,9.06,,0
1,23,23,0.23,0.21,9.57,0.5784,1
1,24,0,0.21,0.19,0.0,,0
1,24,1,0.17,0.15,0.0,,0
1,24,2,0.24,0.21,0.0,0.8825,1
1,24,3,0.19,0.18,0.0,,1
1,24,4,0.22,0.19,0.0,,1
1,24,5,0.19,0.17,0.0,,0
1,24,6,0.17,0.15,8.09,,0
1,24,7,0.36,0.32,0.0,0.8473,1
1,24,8,0.43,0.34,17.6,,0
1,24,9,0.48,0.39,0.0,,0
1,24,10,0.29,0.21,0.0,,0
1,24,11,0.35,0.25,0.0,,0
1,24,12,0.29,0.22,8.93,0.383,1
1,24,13,0.31,0.24,0.0,,0
1,24,14,0.26,0.19,0.0,,0
1,24,15,0.32,0.25,9.44,0.5381,1
1,24,16,0.26,0.22,0.0,,0
1,24,17,0.3,0.22,11.0,0.8595,1
1,24,18,0.49,0.44,16.96,,1
1,24,19,0.44,0.38,24.63,,1
1,24,20,0.41,0.35,22.65,,1
1,24,21,0.45,0.41,7.37,,1
1,24,22,0.2,0.18,18.74,,1
1,24,23,0.17,0.15,18.14,,0
1,25,0,0.21,0.2,10.2,,0
1,25,1,0.24,0.22,0.0,0.4061,1
1,25,2,0.21,0.2,0.0,,1
1,25,3,0.22,0.2,0.0,,1
1,25,4,0.21,0.18,0.0,,1
1,25,5,0.18,0.16,0.0,,0
1,25,6,0.23,0.2,12.75,0.7747,1
1,25,7,0.4,0.35,6.69,,1
1,25,8,0.48,0.37,13.4,,0
1,25,9,0.48,0.36,10.46,,0
1,25,10,0.33,0.23,0.0,,0
1,25,11,0.3,0.22,0.0,,0
1,25,12,0.26,0.22,0.0,0.3909,1
1,25,13,0.34,0.28,0.0,,1
1,25,14,0.32,0.25,0.0,,0
1,25,15,0.29,0.23,0.0,,0
1,25,16,0.35,0.27,0.0,,0
1,25,17,0.32,0.25,0.0,,0
1,25,18,0.45,0.41,22.23,0.4811,1
1,25,19,0.41,0.37,0.0,,1
1,25,20,0.43,0.4,11.98,,1
1,25,21,0.44,0.41,5.68,,1
1,25,22,0.19,0.18,23.36,,1
1,25,23,0.16,0.15,9.51,,1
1,26,0,0.21,0.18,0.0,,1
1,26,1,0.15,0.13,0.0,,0
1,26,2,0.19,0.17,0.0,0.4831,1
1,26,3,0.22,0.19,0.0,,1
1,26,4,0.2,0.17,0.0,,1
1,26,5,0.17,0.14,0.0,,0
1,26,6,0.16,0.14,21.83,0.6545,1
1,26,7,0.47,0.41,23.88,,1
1,26,8,0.46,0.38,24.23,,0
1,26,9,0.48,0.35,0.0,,0
1,26,10,0.31,0.24,0.0,,0
1,26,11,0.35,0.29,0.0,,0
1,26,12,0.31,0.24,0.0,,0
1,26,13,0.27,0.22,0.0,,0
1,26,14,0.33,0.26,0.0,,0
1,26,15,0.33,0.24,0.0,,0
1,26,16,0.31,0.23,0.0,,0
1,26,17,0.28,0.21,13.83,,0
1,26,18,0.43,0.4,16.78,0.7452,1
1,26,19,0.42,0.36,22.68,,0
1,26,20,0.36,0.33,13.95,0.2639,1
1,26,21,0.49,0.44,15.6,,1
1,26,22,0.19,0.17,16.25,,1
1,26,23,0.23,0.21,21.55,,1
1,27,0,0.24,0.21,0.0,,0
1,27,1,0.16,0.14,0.0,0.4859,1
1,27,2,0.21,0.2,0.0,,1
1,27,3,0.16,0.14,0.0,,1
1,27,4,0.19,0.17,0.0,,1
1,27,5,0.24,0.22,0.0,,1
1,27,6,0.2,0.17,5.87,,1
1,27,7,0.45,0.4,14.38,,1
1,27,8,0.46,0.35,9.03,,0
1,27,9,0.42,0.3,8.08,0.8566,1
1,27,10,0.3,0.23,0.0,,0
1,27,11,0.32,0.27,0.0,0.4535,1
